,name,rating,reviews,type,hq,old,employees
2912,TVS Mobility,4.2,249,Public,Madurai +56 more,113 years old,5k-10k Employees
2913,Wildcraft,3.9,249,26 years old,,Bangalore +36 more,1k-5k Employees
2914,Apparel Group,3.6,249,25 years old,,Dubai +24 more,501-1k Employees
2915,TCL,3.9,249,Forbes Global 2000,Huizhou +32 more,43 years old,51-200 Employees
2916,Techno Electric & Engineering Company,4.2,249,Public,Kolkata +42 more,61 years old,201-500 Employees
2917,Sri Aurobindo Society,3.3,249,64 years old,,Pondicherry/Puducherry +18 more,201-500 Employees
2918,Incred Finance,4.1,249,Indian Unicorn,Mumbai +27 more,8 years old,1k-5k Employees
2919,Reliance Home Finance,4.5,249,Public,Mumbai +46 more,16 years old,501-1k Employees
2920,Unitech,3.8,249,Public,Gurgaon/Gurugram +26 more,53 years old,1k-5k Employees
2921,Dixit Infotech Services,4.2,249,45 years old,,Mumbai +31 more,501-1k Employees
2922,Automatic Infotech,4.4,248,19 years old,,Pune +8 more,1k-5k Employees
2923,Globus Infocom,4.9,248,Conglomerate,Noida +17 more,23 years old,201-500 Employees
2924,Technicolor,3.9,248,131 years old,,Paris +7 more,5k-10k Employees
2925,Vara United,3.9,248,10 years old,,Mumbai +27 more,1k-5k Employees
2926,KOREA PLANT SERVICE AND ENGINEERING,3.4,248,40 years old,,Naju +19 more,201-500 Employees
2927,Orix Auto Infrastructure Services,4.6,248,Public,Mumbai +17 more,29 years old,201-500 Employees
2928,RDC Concrete (India),4.0,248,31 years old,,Mumbai +42 more,501-1k Employees
2929,TRL Krosaki Refractories,3.9,248,Public,Jharsuguda +18 more,66 years old,1k-5k Employees
2930,Infocepts Technologies,3.4,248,20 years old,,Washington DC +6 more,1k-5k Employees
2931,Cheil India,3.3,248,21 years old,,Gurugram +17 more,201-500 Employees
2932,Kellton Tech Solutions,3.4,248,Public,Hyderabad/Secunderabad +11 more,15 years old,1k-5k Employees
2933,Arvind Fashions,3.8,248,Public,Bangalore/Bengaluru +42 more,31 years old,1k-5k Employees
2934,Yara Fertilisers,4.1,248,119 years old,,Oslo  +46 more,501-1k Employees
2935,MediBuddy,3.1,248,Startup,Bangalore +14 more,11 years old,1k-5k Employees
2936,Finova Capital,3.9,248,9 years old,,Jaipur +90 more,1k-5k Employees
2937,IMSI,3.3,248,38 years old,,Dehradun +38 more,1k-5k Employees
2938,Amartex Industries,4.3,247,Public,Panchkula +18 more,36 years old,51-200 Employees
2939,The Dow Chemical Company,4.2,247,26 years old,,Mumbai +12 more,1k-5k Employees
2940,Amartex Industries,4.3,247,Public,Panchkula +18 more,36 years old,51-200 Employees
2941,Nilons Enterprises,4.0,247,62 years old,,Pune +35 more,501-1k Employees
2942,Gyproc,4.1,247,,,,
2943,Virchow Biotech,3.4,247,25 years old,,Hyderabad/Secunderabad +7 more,1k-5k Employees
2944,Premium Transmission,3.7,247,63 years old,,Pune +13 more,501-1k Employees
2945,Halonix Technologies,4.1,247,11 years old,,Noida +35 more,501-1k Employees
2946,Louis Philippe,4.1,247,35 years old,,Bangalore/Bengaluru +67 more,1k-5k Employees
2947,Dee Piping System,4.2,247,41 years old,,Palwal +12 more,1k-5k Employees
2948,Richfeel Health & Beauty,2.9,247,38 years old,,Mumbai +37 more,501-1k Employees
2949,Servion Global Solutions,3.7,247,29 years old,,New Jersey +13 more,1k-5k Employees
2950,Halliburton,3.5,247,Forbes Global 2000,Houston +22 more,105 years old,1k-5k Employees
2951,Evolve Technologies & Services,4.2,247,33 years old,,Pune +43 more,201-500 Employees
2952,Kanpur Fertilizers & Chemicals,3.9,247,14 years old,,Kanpur +23 more,501-1k Employees
2953,Pfizer Products India,4.3,247,175 years old,,New York City +14 more,1k-5k Employees
2954,D.p. Jain & Co. Infrastructure Pvt .,3.6,247,50 years old,,Nagpur +27 more,201-500 Employees
2955,AQM Technologies,3.2,247,24 years old,,Mumbai +8 more,1k-5k Employees
2956,Evolent Health International,3.9,247,Public,Arlington +2 more,13 years old,501-1k Employees
2957,Naaptol Online Shopping,3.8,247,16 years old,,Mumbai +24 more,51-200 Employees
2958,Flyjac Logistics,4.3,246,34 years old,,Chennai +40 more,1k-5k Employees
2959,A-1 Fence Products,4.0,246,26 years old,,Mumbai +16 more,201-500 Employees
2960,Flyjac Logistics,4.3,246,34 years old,,Chennai +40 more,1k-5k Employees
2961,Rheinmetall Automotive,4.1,246,115 years old,,Neckarlsum +14 more,51-200 Employees
2962,Jindal Industries,3.4,246,Public,Delhi/NCR +24 more,72 years old,1k-5k Employees (Global)
2963,Freecharge,4.0,246,Conglomerate,Gurgaon +26 more,14 years old,501-1k Employees
2964,ACB (India),3.7,246,Public,Gurgaon/Gurugram +21 more,27 years old,201-500 Employees
2965,Centre For Sight,4.1,246,28 years old,,Delhi +26 more,501-1k Employees
2966,Sundaram Auto Components,4.0,246,Public,Bhiwadi +12 more,44 years old,501-1k Employees
2967,Ruby Hall Clinic,4.1,246,65 years old,,Pune +6 more,201-500 Employees
2968,GTL,4.3,246,Public,Mumbai +35 more,37 years old,1k-5k Employees
2969,IDS Infotech,3.2,246,Public,Mohali +14 more,35 years old,1k-5k Employees
2970,Espire Infolabs,2.8,246,23 years old,,Gurgaon/Gurugram +5 more,501-1k Employees
2971,ZF India Technology Center,3.6,246,109 years old,,Friedrichshafen +6 more,10k-50k Employees
2972,ScoreMe Solutions,4.6,246,Gurgaon/Gurugram +3 more,,,51-200 Employees
2973,DM Consultants,1.2,246,,,,
2974,Syncfusion,3.6,245,23 years old,,Morrisville +2 more,1k-5k Employees
2975,Tata ClassEdge,3.6,245,Public,Mumbai +41 more,13 years old,501-1k Employees
2976,Banco Products,3.6,245,Public,Vadodara/Baroda +16 more,63 years old,501-1k Employees
2977,eNoah iSolution,4.0,245,19 years old,,Chennai +5 more,1k-5k Employees
2978,Conviction HR,4.5,245,12 years old,,Mumbai +10 more,501-1k Employees
2979,Parul University,3.6,245,9 years old,,Vadodara/Baroda +26 more,201-500 Employees
2980,Freyr Solutions,3.7,245,17 years old,,Princeton +2 more,5k-10k Employees
2981,Arena Animation,3.8,245,28 years old,,Mumbai +56 more,11-50 Employees
2982,Atyati Technologies,4.3,245,18 years old,,Bangalore +51 more,1k-5k Employees
2983,Helloverify,3.2,245,Startup,Noida +4 more,12 years old,501-1k Employees
2984,Stanley Black & Decker,4.0,244,Forbes Global 2000,New Britain +19 more,181 years old,1k-5k Employees
2985,Vedant Fashions,3.8,244,22 years old,,Kolkata +34 more,1k-5k Employees
2986,Muthoot Pappachan Group,3.7,244,Conglomerate,Trivandrum/Thiruvananthapuram +72 more,137 years old,10k-50k Employees
2987,Concord Biotech,3.5,244,Public,Ahmedabad +11 more,24 years old,501-1k Employees
2988,Fosroc Chemicals India,4.4,244,52 years old,,Dubai +35 more,501-1k Employees
2989,Satin Finserv,4.0,244,Gurgaon/Gurugram +66 more,,,10k-50k Employees
2990,Highway Industries,4.0,243,53 years old,,Ludhiana +12 more,1k-5k Employees
2991,Omkar Realtors and Developers Group,4.2,243,21 years old,,Sion Mumbai +10 more,201-500 Employees
2992,Manhattan Associates,3.9,243,34 years old,,Atlanta +2 more,1k-5k Employees
2993,UCO Bank,3.5,243,Public,Kolkata +79 more,81 years old,10k-50k Employees
2994,MN Dastur & Company,3.7,243,69 years old,,Kolkata +12 more,1k-5k Employees
2995,Cimpress,4.0,243,29 years old,,Dundalk +8 more,1k-5k Employees
2996,QBurst Technologies,4.4,243,20 years old,,Chantilly +11 more,1k-5k Employees
2997,Desun Hospital & Heart Institute,3.5,243,16 years old,,Kolkata +9 more,201-500 Employees
2998,Core Integra Consulting Services,3.5,243,Conglomerate,Mumbai +59 more,13 years old,501-1k Employees
2999,Somic ZF Components,4.3,243,29 years old,,Gurgaon/Gurugram +13 more,201-500 Employees
3000,SKH Y-TEC,3.9,243,11 years old,,Becharaji +17 more,1k-5k Employees
3001,Omega Healthcare Solutions,3.6,243,Bengaluru/Bangalore +5 more,,,10k-50k Employees (Global)
3002,Examity,3.3,243,Startup,Needham +4 more,11 years old,201-500 Employees (Global)
3003,Ajio Business,3.6,243,,,,
3004,Harsha Engineers,4.0,242,38 years old,,Ahmedabad +7 more,1k-5k Employees
3005,Rimjhim Ispat,3.4,242,30 years old,,Kanpur +18 more,1k-5k Employees
3006,Maharashtra Hybrid Seed Company,4.2,242,60 years old,,Jalna +52 more,1k-5k Employees
3007,SiliconIndia,2.5,242,27 years old,,Bangalore/Bengaluru +7 more,1k-5k Employees
3008,Onsitego,3.9,242,14 years old,,Mumbai +17 more,1k-5k Employees
3009,Appsierra,4.6,242,9 years old,,Noida +9 more,51-200 Employees
3010,Carraro,4.0,242,92 years old,,Campodarsego +2 more,1k-5k Employees
3011,Allana Group of Companies,3.6,242,159 years old,,Mumbai +27 more,5k-10k Employees
3012,McNROE,3.9,242,38 years old,,Kolkata +45 more,501-1k Employees
3013,New Opportunity Consultancy,4.1,242,9 years old,,Navi Mumbai +93 more,201-500 Employees
3014,CareEdge Ratings,2.8,242,Public,Mumbai +17 more,31 years old,501-1k Employees
3015,Subway,4.1,242,59 years old,,Milford +54 more,1k-5k Employees
3016,Sterling Oil Exploration & Energy Production,3.7,242,19 years old,,Lagos  +9 more,51-200 Employees
3017,Vyapar,3.8,242,Startup,Bengaluru/Bangalore +26 more,9 years old,501-1k Employees
3018,Nava Limited,4.0,241,Public,Hyderabad/Secunderabad +24 more,52 years old,51-200 Employees
3019,ProConnect Integrated Logistics,3.9,241,12 years old,,Chennai +42 more,51-200 Employees
3020,Xchanging,3.5,241,Public,London +10 more,26 years old,201-500 Employees
3021,Essel Group,3.9,241,Conglomerate,Mumbai +37 more,98 years old,10k-50k Employees
3022,Manipal Technologies,3.8,241,83 years old,,Manipal +27 more,1k-5k Employees
3023,Oberoi Realty,3.8,241,Public,Mumbai +7 more,44 years old,501-1k Employees
3024,Aeronautical Development Agency,4.3,241,40 years old,,Bangalore/Bengaluru +4 more,501-1k Employees
3025,Tommy Hilfiger,4.4,241,39 years old,,Amsterdam +43 more,1k-5k Employees
3026,MAQ Software,2.4,241,24 years old,,Redmond +6 more,501-1k Employees
3027,P&O Cruises,4.6,241,187 years old,,Southampton +12 more,11-50 Employees
3028,Sri Sri Tattva,3.6,241,21 years old,,Bangalore/Bengaluru +42 more,201-500 Employees
3029,Infodrive,4.5,241,28 years old,,New Delhi +2 more,51-200 Employees
3030,Nava Limited,4.0,241,Public,Hyderabad/Secunderabad +24 more,52 years old,51-200 Employees
3031,Nesma & Partners,4.4,241,43 years old,,Jeddah +20 more,51-200 Employees
3032,Ensure Support Services,4.1,240,11 years old,,Chennai +44 more,201-500 Employees
3033,Siemens Healthcare,4.4,240,128 years old,,Erlangen +21 more,1k-5k Employees
3034,Bird Worldwide Flight Services,3.4,240,25 years old,,New Delhi +10 more,1k-5k Employees
3035,Zydex Industries,4.0,240,27 years old,,Vadodara/Baroda +54 more,501-1k Employees
3036,Imarque Solutions,3.4,240,20 years old,,Chennai +11 more,201-500 Employees
3037,MobileComm Technologies India,3.9,240,22 years old,,Richardson +26 more,201-500 Employees
3038,MSD Pharmaceuticals,4.2,240,59 years old,,Gurgaon/Gurugram +41 more,1k-5k Employees
3039,Micron Technology,3.6,240,Forbes Global 2000,Boise +7 more,46 years old,1k-5k Employees
3040,Global Aluminium,3.8,240,Hyderabad/Secunderabad +13 more,,,27 years old
3041,GM Modular,3.8,240,24 years old,,Mumbai +45 more,501-1k Employees
3042,Health India Tpa Services,3.4,240,22 years old,,Mumbai +27 more,51-200 Employees
3043,MobileComm Technologies India,3.9,240,22 years old,,Richardson +26 more,201-500 Employees
3044,Bird Worldwide Flight Services,3.4,240,25 years old,,New Delhi +10 more,1k-5k Employees
3045,Busibud,4.0,240,11 years old,,Greater Los Angeles +21 more,11-50 Employees
3046,Reliance BP Mobility,3.5,240,Navi Mumbai +52 more,,,50k-1 Lakh Employees
3047,FabAlley,4.4,240,12 years old,,Noida +40 more,1k-5k Employees
3048,AIG Hospital,4.2,240,38 years old,,Hyderabad +2 more,1k-5k Employees
3049,Shah Technical Consultants,3.5,239,15 years old,,Mumbai +50 more,51-200 Employees
3050,Adama,4.2,239,15 years old,,Tel Aviv +55 more,201-500 Employees
3051,Go Colors,4.0,239,14 years old,,Chennai +46 more,51-200 Employees
3052,Reliance Money,4.2,239,18 years old,,Mumbai +49 more,51-200 Employees
3053,Peregrine Guarding,4.1,239,29 years old,,Gurgaon/Gurugram +41 more,501-1k Employees
3054,Housejoy,4.4,239,Startup,Bangalore +16 more,10 years old,201-500 Employees
3055,IKF Finance,3.9,239,Public,Hyderabad/Secunderabad +78 more,33 years old,1k-5k Employees
3056,International Automotive Components,3.8,239,18 years old,,Southfield +12 more,501-1k Employees
3057,ReachLocal Services,3.8,239,14 years old,,Mumbai +5 more,501-1k Employees
3058,Confidence Petroleum India,3.3,239,Public,Nagpur +38 more,27 years old,501-1k Employees
3059,Hygienic Research Institute,4.4,239,67 years old,,Mumbai +44 more,1k-5k Employees
3060,Aeries Technology,3.5,239,12 years old,,Mumbai +6 more,501-1k Employees
3061,ServiceNow,4.0,239,Public,Santa Clara +6 more,20 years old,1k-5k Employees
3062,The Hershey Company,4.2,239,Forbes Global 2000,Derry Township +49 more,130 years old,201-500 Employees
3063,Clix Capital Services,3.8,239,8 years old,,Gurgaon +23 more,501-1k Employees
3064,Roki Minda Co,4.5,239,14 years old,,Bawal +16 more,201-500 Employees
3065,Welspun Enterprises,4.1,239,Public,Mumbai +28 more,48 years old,1k-5k Employees
3066,Council of Scientific and Industrial Research,4.5,239,Central,New Delhi +37 more,82 years old,5k-10k Employees
3067,Allanasons,3.8,239,159 years old,,Mumbai +26 more,1k-5k Employees
3068,Hindustan Times,3.6,239,100 years old,,Delhi/NCR +37 more,1k-5k Employees
3069,“Bharat Financial Inclusion Limited”,4.4,239,,,,
3070,NTT Global Networks,4.3,239,Public,Greenwood Village +23 more,24 years old,501-1k Employees
3071,Uneecops Technologies,4.1,238,29 years old,,Delhi/NCR +15 more,501-1k Employees
3072,SALARPURIA SATTVA,4.2,238,38 years old,,Bangalore/Bengaluru +12 more,1k-5k Employees
3073,Roche Diagnostics,3.7,238,Conglomerate,Basel +26 more,128 years old,201-500 Employees
3074,Khimji Ramdas,4.0,238,154 years old,,Muscat +25 more,1k-5k Employees
3075,Andromeda Sales And Distribution,2.9,238,33 years old,,Mumbai +43 more,1k-5k Employees
3076,Hollister Medical,4.1,238,103 years old,,Illinois +8 more,51-200 Employees
3077,Tessolve Semiconductor,3.7,238,20 years old,,Bangalore/Bengaluru +10 more,1k-5k Employees
3078,Mobikwik,3.3,238,15 years old,,Gurgaon +16 more,501-1k Employees
3079,Tradebulls,2.9,238,15 years old,,Mumbai +19 more,11-50 Employees
3080,Hollister Medical,4.1,238,103 years old,,Illinois +8 more,51-200 Employees
3081,POSCO MAHARASHTRA STEEL,4.2,237,12 years old,,Pohang-si +10 more,501-1k Employees
3082,GRT Jewellers,4.3,237,60 years old,,Chennai +24 more,5k-10k Employees
3083,Suburban Diagnostics,3.9,237,30 years old,,Mumbai +11 more,201-500 Employees
3084,Associated Road Carriers,4.1,237,52 years old,,Hyderabad/Secunderabad +53 more,1k-5k Employees
3085,CSC,3.9,237,,,,
3086,Hexagon Capability Center,4.1,237,37 years old,,Stockholm +8 more,1k-5k Employees
3087,Titan Laboratories,3.7,237,20 years old,,Mumbai +12 more,201-500 Employees
3088,BDO,3.3,237,Public,Mumbai +25 more,61 years old,5k-10k Employees
3089,Citykart Retail,3.9,237,Startup,Delhi +54 more,8 years old,1k-5k Employees
3090,Ugro Capital,3.8,237,Public,Mumbai +60 more,31 years old,1k-5k Employees
3091,Patil Group,4.1,236,91 years old,,Hyderabad +36 more,11-50 Employees
3092,Nabard Financial Services,4.2,236,Public,Bengaluru +92 more,15 years old,1k-5k Employees
3093,Nyati Group,4.2,236,27 years old,,Pune +10 more,501-1k Employees
3094,ZF Friedrichshafen,4.0,236,109 years old,,Friedrichshafen +15 more,10k-50k Employees
3095,MapmyIndia,3.7,236,Public,Delhi +5 more,32 years old,201-500 Employees
3096,MT Educare,3.3,236,Public,Mumbai +24 more,36 years old,201-500 Employees
3097,Birla Tyres,3.5,236,33 years old,,Kolkata +57 more,1k-5k Employees
3098,Vayam Info Solutions,3.8,236,14 years old,,Noida +41 more,201-500 Employees
3099,Al Tasnim Enterprises,3.9,236,48 years old,,Muscat +14 more,201-500 Employees
3100,Ang India,4.0,236,Public,Noida +36 more,46 years old,201-500 Employees
3101,Alchemy Techsol India,3.6,236,10 years old,,Bangalore +14 more,501-1k Employees
3102,Spice Money,4.0,236,24 years old,,Noida +67 more,501-1k Employees
3103,Adani Capital,4.2,236,7 years old,,Mumbai +77 more,1k-5k Employees
3104,Military Engineer Services,4.5,236,Public,Delhi/NCR +60 more,101 years old,51-200 Employees
3105,Aptus Value Housing Finance India,4.2,236,15 years old,,Chennai +94 more,1k-5k Employees
3106,Richa Global Export,4.0,235,33 years old,,Gurgaon/Gurugram +9 more,10k-50k Employees
3107,Ubisoft Entertainment,4.1,235,38 years old,,Montreuil +5 more,1k-5k Employees
3108,CPM India Sales & Marketing,4.1,235,16 years old,,New Delhi +42 more,501-1k Employees
3109,Magic Software,3.3,235,34 years old,,Laguna Hills +4 more,201-500 Employees
3110,Solartis Technology Services,3.7,235,20 years old,,Manhattan Beach +3 more,51-200 Employees
3111,Berkadia,4.0,235,15 years old,,New York +4 more,501-1k Employees
3112,Eastern Condiments,4.3,235,41 years old,,Idukki +48 more,1k-5k Employees
3113,Thomson Digital,3.9,235,62 years old,,Noida +7 more,201-500 Employees
3114,Nitco,4.3,235,Public,Mumbai +41 more,71 years old,1k-5k Employees
3115,ArcGate,3.6,235,19 years old,,Udaipur +1 more,1k-5k Employees
3116,Walplast Products,3.9,235,20 years old,,Navi Mumbai +42 more,201-500 Employees
3117,Bluestone.com,3.7,235,Startup,Bangalore +37 more,13 years old,501-1k Employees
3118,East India Udyog,3.9,235,Public,Ghaziabad +31 more,58 years old,201-500 Employees
3119,AVIOM,4.2,235,Startup,Delhi +90 more,8 years old,201-500 Employees
3120,Apollo Clinic,3.8,235,Public,Hyderabad +36 more,22 years old,201-500 Employees
3121,Altruist Customer Management India,3.5,235,14 years old,,Panchkula +13 more,10k-50k Employees
3122,L&T–MHI Power Boilers,4.0,235,18 years old,,Faridabad +18 more,201-500 Employees
3123,ICRA,3.2,235,Public,Gurgaon/Gurugram +14 more,33 years old,201-500 Employees
3124,Visa,4.1,235,Public,Foster City +12 more,66 years old,1k-5k Employees
3125,Vascon Engineers,3.7,235,Public,Pune +15 more,38 years old,501-1k Employees
3126,Ambuja Neotia,4.1,235,34 years old,,Kolkata +12 more,501-1k Employees
3127,Apcer Life Sciences,3.6,235,17 years old,,Princeton +4 more,51-200 Employees
3128,Nexval Infotech,3.2,235,15 years old,,Kolkata +5 more,501-1k Employees
3129,Diverse Lynx,3.9,235,22 years old,,Princeton +12 more,51-200 Employees
