,name,rating,reviews,type,hq,old,employees
5812,Oasis Resource Management,4.2,124,24 years old,,New Delhi +2 more,201-500 Employees
5813,Concentric,3.8,124,Gurgaon/Gurugram +17 more,,,51-200 Employees
5814,Godrej Tyson Food,4.3,124,Public,Mumbai +26 more,16 years old,201-500 Employees
5815,ACN Health care,3.6,124,13 years old,,Bangalore/Bengaluru +3 more,11-50 Employees
5816,SUGAR Cosmetics,3.7,124,Startup,Mumbai +24 more,12 years old,201-500 Employees
5817,Brick&Bolt,4.1,124,Startup,Bangalore +5 more,7 years old,51-200 Employees
5818,Vserve Ebusiness Solutions,4.4,124,20 years old,,New York +8 more,201-500 Employees
5819,Redington Gulf,3.6,124,25 years old,,Dubai +2 more,1k-5k Employees (Global)
5820,Accentuate Business Solutions,3.9,124,Gurgaon/Gurugram +12 more,,,51-200 Employees
5821,Park Plus,2.9,124,Startup,Gurgaon/Gurugram +20 more,5 years old,201-500 Employees
5822,Unschool Learning,3.4,124,Startup,Hyderabad/Secunderabad +6 more,5 years old,51-200 Employees
5823,Paytm Mall,3.7,124,Indian Unicorn,Noida +23 more,14 years old,501-1k Employees
5824,Bikayi,3.0,124,Startup,Bengaluru/Bangalore +4 more,5 years old,51-200 Employees
5825,INDIA TODAY GROUP,3.8,124,49 years old,,Noida +9 more,1k-5k Employees
5826,Choice Consultancy Services,4.3,124,14 years old,,Mumbai +35 more,1k-5k Employees (Global)
5827,Samkwang India Electronic,3.3,124,Greater Noida +7 more,,,201-500 Employees
5828,Amar Cars,3.8,124,18 years old,,Vadodara +10 more,501-1k Employees
5829,Lubi Industries Llp,4.2,124,59 years old,,Ahmedabad +26 more,1k-5k Employees
5830,Montage Enterprises,3.9,124,22 years old,,Noida +10 more,201-500 Employees
5831,Denso Ten Minda India,4.1,124,12 years old,,Bawal +6 more,51-200 Employees
5832,University of Engineering and Management,3.7,124,10 years old,,Gurgaon/Gurugram +16 more,201-500 Employees
5833,RNFI Services,3.5,124,9 years old,,New Delhi +27 more,501-1k Employees
5834,Prasol Chemicals,3.2,124,32 years old,,Khopoli +5 more,51-200 Employees
5835,Tecnotree Convergence,3.1,123,46 years old,,Bengaluru/Bangalore +2 more,201-500 Employees
5836,Marque Impex,4.1,123,28 years old,,Moradabad +3 more,1k-5k Employees
5837,Ashish Life Science,4.2,123,49 years old,,Boisar +7 more,201-500 Employees
5838,Agility E Services,3.8,123,Public,Hyderabad/Secunderabad,17 years old,51-200 Employees
5839,Globus Spirits,3.6,123,Public,New Delhi +17 more,32 years old,1k-5k Employees
5840,Ministry of Home Affairs,4.3,123,Central,New Delhi +19 more,77 years old,51-200 Employees
5841,Inteva Products,4.0,123,16 years old,,Troy +3 more,51-200 Employees
5842,Aranca,3.7,123,21 years old,,Mumbai +2 more,501-1k Employees
5843,Six Sigma Soft Solutions,3.0,123,24 years old,,Chennai +20 more,1k-5k Employees
5844,Steril Gene Life Sciences,3.9,123,17 years old,,Chennai +5 more,51-200 Employees
5845,ASSA ABLOY,3.5,123,Public,Stockholm +25 more,19 years old,51-200 Employees
5846,YFC PROJECTS,3.8,123,38 years old,,Gurgaon/Gurugram +12 more,51-200 Employees
5847,Xome,4.2,123,Startup,Lewisville +4 more,12 years old,201-500 Employees
5848,Minda Stoneridge Instruments,3.5,123,29 years old,,New Delhi +4 more,1k-5k Employees
5849,Ajnara India,3.5,123,Public,Noida +3 more,33 years old,201-500 Employees
5850,Jayem Automotives,3.7,123,33 years old,,Chennai +7 more,501-1k Employees
5851,Caliber Technologies,3.9,123,23 years old,,Pittsburgh +11 more,501-1k Employees
5852,SPX Flow Technology,4.4,123,44 years old,,Charlotte +8 more,51-200 Employees
5853,Holostik,4.1,123,Public,Noida +11 more,33 years old,1k-5k Employees
5854,Unify Technologies,3.4,123,9 years old,,Bellevue +8 more,201-500 Employees
5855,Pramata Knowledge Solutions,3.0,123,19 years old,,Brisbane +1 more,201-500 Employees
5856,Automation Anywhere,3.6,123,21 years old,,San Jose +8 more,1k-5k Employees
5857,Apps Associates,3.7,123,22 years old,,Acton +5 more,501-1k Employees
5858,Indian School of Business,3.8,123,9 years old,,Hyderabad/Secunderabad +8 more,51-200 Employees
5859,Affine,3.4,123,13 years old,,Bangalore +1 more,201-500 Employees
5860,BlazeClan Technologies,3.8,123,14 years old,,Pune +2 more,501-1k Employees
5861,Serdia Pharmaceuticals,3.8,123,38 years old,,Mumbai +22 more,501-1k Employees
5862,River Engineering,4.0,123,17 years old,,Greater Noida +5 more,51-200 Employees
5863,Kwality Pharmaceuticals,3.9,123,Public,Amritsar +5 more,41 years old,501-1k Employees
5864,Innovassynth Technologies,3.7,123,22 years old,,Mumbai +5 more,501-1k Employees
5865,Diagno Labs,3.9,123,12 years old,,Gurgaon/Gurugram +27 more,201-500 Employees (Global)
5866,Marolix Technology Solutions,3.7,123,Hyderabad +2 more,,,13 years old
5867,Bewakoof,3.7,123,13 years old,,Mumbai +8 more,201-500 Employees
5868,BIC Contracting,4.5,123,Dubai +8 more,,,1k-5k Employees
5869,Jai Kisan,3.8,123,Startup,Mumbai +23 more,7 years old,51-200 Employees
5870,RLabs Enterprise Services,3.7,123,Public,Hyderabad/Secunderabad +11 more,11 years old,1k-5k Employees
5871,Noccarc Robotics,4.4,123,Startup,Pune +8 more,7 years old,51-200 Employees
5872,OneClick IT Consultancy,4.7,123,12 years old,,Ahmedabad +2 more,51-200 Employees
5873,Geeklurn,3.8,123,Bengaluru/Bangalore +2 more,,,51-200 Employees
5874,Vertex Global Services,4.1,123,Gurugram +2 more,,,51-200 Employees
5875,John Crane Sealing Systems India,3.7,123,12 years old,,Chicago +3 more,501-1k Employees
5876,ACI Worldwide,4.2,123,49 years old,, Coral Gables +3 more,501-1k Employees
5877,Facebook,4.5,123,Forbes Global 2000,Menlo Park +20 more,20 years old,1k-5k Employees
5878,Satyesh Brinechem,3.3,123,10 years old,,Ahmedabad +8 more,51-200 Employees
5879,Sri Ranganathar Industries,3.5,123,42 years old,,Coimbatore +5 more,501-1k Employees
5880,BIC Contracting,4.5,123,Dubai +8 more,,,1k-5k Employees
5881,Jai Kisan,3.8,123,Startup,Mumbai +23 more,7 years old,51-200 Employees
5882,Exicom Tele Systems,3.6,122,,,,
5883,SHARON BIO MEDICINE,4.1,122,Public,Mumbai +4 more,35 years old,501-1k Employees
5884,Overseas Health Care,2.8,122,30 years old,,Jalandhar +33 more,501-1k Employees
5885,Modern Business Solutions,3.8,122,20 years old,,Ahmedabad +55 more,5k-10k Employees
5886,Nippo Batteries,4.3,122,52 years old,,Chennai +31 more,1k-5k Employees
5887,XSEED Education,3.1,122,16 years old,,Bangalore/Bengaluru +17 more,201-500 Employees (Global)
5888,Back Office,4.0,122,20 years old,,Dubai +36 more,51-200 Employees
5889,Rural Electrification Corporation,4.2,122,55 years old,,New Delhi +30 more,501-1k Employees (Global)
5890,Wonderchef Home Appliances,3.8,122,15 years old,,Mumbai +23 more,201-500 Employees
5891,Extentia Information Technology,3.5,122,26 years old,,Pune +2 more,501-1k Employees
5892,NIMS University,2.9,122,16 years old,,Jaipur +6 more,501-1k Employees
5893,Danblock Brakes,4.1,122,288 years old,,Hestehaven +6 more,51-200 Employees
5894,Optiemus Electronics,3.7,122,8 years old,,Noida +5 more,1k-5k Employees
5895,IonIdea Interactive,3.5,122,33 years old,,Fairfax +8 more,501-1k Employees
5896,DMI,3.7,122,22 years old,,Bethesda +9 more,201-500 Employees
5897,CETPA InfoTech,4.0,122,22 years old,,Noida +5 more,501-1k Employees
5898,Jamboree Education,3.8,122,31 years old,,Delhi +17 more,201-500 Employees
5899,Jotun Paints,4.0,122,98 years old,,Sandefjord +21 more,201-500 Employees
5900,Optiemus Electronics,3.7,122,8 years old,,Noida +5 more,1k-5k Employees
5901,Wonderchef Home Appliances,3.8,122,15 years old,,Mumbai +23 more,201-500 Employees
5902,Jamboree Education,3.8,122,31 years old,,Delhi +17 more,201-500 Employees
5903,Bry-Air (Asia),4.1,122,43 years old,,Gurgaon/Gurugram +13 more,1k-5k Employees
5904,Jotun Paints,4.0,122,98 years old,,Sandefjord +21 more,201-500 Employees
5905,CETPA InfoTech,4.0,122,22 years old,,Noida +5 more,501-1k Employees
5906,Edwise International,4.0,122,33 years old,,Mumbai +15 more,201-500 Employees
5907,Philip Morris International,3.7,122,Forbes Global 2000,New York +27 more,37 years old,51-200 Employees
5908,Intense Technologies,4.1,122,Public,Hyderabad/Secunderabad +12 more,34 years old,501-1k Employees
5909,Architect Hafeez Contractor,4.0,122,42 years old,,Mumbai +6 more,201-500 Employees
5910,Back Office,4.0,122,20 years old,,Dubai +36 more,51-200 Employees
5911,DMI,3.7,122,22 years old,,Bethesda +9 more,201-500 Employees
5912,Sunbeam School,4.4,122,52 years old,,Varanasi +19 more,10k-50k Employees
5913,Haldiram Bhujiawala,3.7,122,66 years old,,Kolkata +31 more,201-500 Employees
5914,Brainium Information Technologies,4.0,122,15 years old,,Kolkata +1 more,201-500 Employees
5915,Fangs Technology,4.1,122,10 years old,,Chennai +17 more,1k-5k Employees
5916,Videocon Industries Ltd.,3.9,122,Public,Mumbai +38 more,45 years old,5k-10k Employees
5917,Accentuate Technology,4.3,122,Bengaluru/Bangalore +11 more,,,1-10 Employees
5918,MASAI School,3.9,122,Startup,Bangalore +2 more,5 years old,201-500 Employees
5919,BUDDI.AI,4.1,122,11 years old,,New York +7 more,201-500 Employees
5920,Philip Morris International,3.7,122,Forbes Global 2000,New York +27 more,37 years old,51-200 Employees
5921,Intense Technologies,4.1,122,Public,Hyderabad/Secunderabad +12 more,34 years old,501-1k Employees
5922,Bry-Air (Asia),4.1,122,43 years old,,Gurgaon/Gurugram +13 more,1k-5k Employees
5923,FAIRWAY ENTERPRISES,3.8,122,Pochampalli +8 more,,,51-200 Employees
5924,EagleView,3.4,122,16 years old,,Bellevue +2 more,201-500 Employees
5925,PhableCare,2.7,122,Startup,Bangalore +6 more,7 years old,51-200 Employees
5926,Accentuate Technology,4.3,122,Bengaluru/Bangalore +11 more,,,1-10 Employees
5927,Videocon Industries Ltd.,3.9,122,Public,Mumbai +38 more,45 years old,5k-10k Employees
5928,Frugal Testing,4.8,122,8 years old,,Hyderabad +2 more,51-200 Employees
5929,BUDDI.AI,4.1,122,11 years old,,New York +7 more,201-500 Employees
5930,Housr,4.5,122,Startup,Gurgaon +5 more,6 years old,51-200 Employees
5931,MASAI School,3.9,122,Startup,Bangalore +2 more,5 years old,201-500 Employees
5932,Ncr Eduservices,3.4,122,12 years old,,Noida +8 more,201-500 Employees
5933,Euronet Worldwide,3.7,121,30 years old,,Leawood +7 more,501-1k Employees
5934,Ludhiana Beverages,3.8,121,30 years old,,Ludhiana +5 more,51-200 Employees
5935,Amrita Vishwa Vidyapeetham,3.9,121,30 years old,,Coimbatore +8 more,1k-5k Employees
5936,SP Apparels,4.1,121,Public,Coimbatore +16 more,18 years old,1k-5k Employees
5937,Presidency University,2.8,121,11 years old,,Bangalore/Bengaluru +5 more,5k-10k Employees
5938,Arch Pharmalabs,3.5,121,25 years old,,Mumbai +13 more,201-500 Employees
5939,Thejo Engineering,3.9,121,Public,Chennai +26 more,50 years old,501-1k Employees
5940,Volante Technologies,3.2,121,New York +4 more,,,201-500 Employees
5941,Ujaas Energy,3.7,121,Public,Indore +16 more,45 years old,201-500 Employees
5942,Synchronoss Technologies,4.1,121,24 years old,,Bridgewater +3 more,501-1k Employees
5943,Metro Tyres,3.6,121,Public,Delhi/NCR +27 more,56 years old,201-500 Employees
5944,Shree Technocrat Communication Systems,3.8,121,New Delhi +17 more,,,18 years old
5945,Deep Industries,2.9,121,Public,Ahmedabad +10 more,33 years old,1k-5k Employees
5946,Lester Infoservices,3.7,121,43 years old,,East Haven +2 more,201-500 Employees
5947,Interglobe Air Transport,3.5,121,35 years old,,Gurgaon +25 more,51-200 Employees
5948,Qualtech Consultants,3.5,121,21 years old,,Noida +3 more,201-500 Employees
5949,Nirmal Bang,3.8,121,38 years old,,Kolkata +22 more,1k-5k Employees
5950,LimeRoad,2.9,121,Startup,Gurgaon +5 more,12 years old,501-1k Employees
5951,Basix,4.0,121,28 years old,,Hyderabad +58 more,1k-5k Employees
5952,IndianOil Skytanking,2.8,121,18 years old,,Mumbai +12 more,201-500 Employees
5953,Leonia Holistic Destination,3.9,121,21 years old,,Hyderabad +7 more,201-500 Employees
5954,Infocus Technologies,3.7,121,17 years old,,Kolkata +11 more,11-50 Employees
5955,VGM Consultants,3.4,121,10 years old,,Kolkata +24 more,501-1k Employees
5956,Lynk,3.3,121,9 years old,,Chennai +9 more,51-200 Employees
5957,C3I Solutions,3.9,121,44 years old,,Horsham +2 more,201-500 Employees
5958,Birla Shakti Cement,4.0,121,,,,Hyderabad/Secunderabad +35 more
5959,MEDICO Healthcare Services & Technologies,3.7,121,8 years old,,Columbia +5 more,201-500 Employees
5960,Ayesa,4.0,121,12 years old,,Sevilla +9 more,201-500 Employees
5961,Aczet,3.6,121,38 years old,,Dubai +10 more,51-200 Employees
5962,Panda Retail Company,4.5,121,46 years old,,Jeddah +12 more,1-10 Employees
5963,Venus Home Appliances,4.0,121,60 years old,,Thoothukudi +21 more,501-1k Employees
5964,Ms Agarwal Foundries,4.0,121,34 years old,,Secunderabad +7 more,51-200 Employees
5965,Lilavati Hospital & Research Centre,4.2,121,27 years old,,Mumbai +8 more,1k-5k Employees
5966,Teerthanker Mahaveer University,3.6,121,16 years old,,Moradabad +6 more,1k-5k Employees
5967,Tcil,4.1,121,Public,New Delhi +34 more,46 years old,1k-5k Employees
5968,ONKAR DIES,4.0,121,26 years old,,Pune +5 more,201-500 Employees
5969,AL JABER GROUP,4.2,121,54 years old,,Abu Dhabi +12 more,1k-5k Employees
5970,BG Distributors,3.8,121,20 years old,,Kolkata +21 more,201-500 Employees
5971,DLF Brands,3.4,121,16 years old,,New Delhi +17 more,1k-5k Employees
5972,HMT Machine Tools,3.7,121,Central,Bangalore/Bengaluru +14 more,71 years old,51-200 Employees
5973,Embitel Technologies,4.3,121,18 years old,,Bangalore +2 more,501-1k Employees
5974,Polaris,3.7,121,13 years old,,Medina +14 more,201-500 Employees
5975,Proziod Analytics,4.0,121,8 years old,,Bengaluru/Bangalore +2 more,51-200 Employees
5976,The Chennai Silks,3.5,121,60 years old,,Tirupur/Tiruppur +17 more,201-500 Employees
5977,Hospital Chemist,4.1,121,,,,
5978,BASIX Academy for Building Lifelong Employability,3.4,121,15 years old,,New Delhi +38 more,11-50 Employees
5979,NNIIT,4.7,121,Hyderabad/Secunderabad +2 more,,,201-500 Employees
5980,Open Financial Technologies Private Limited,3.2,121,Indian Unicorn,Bangalore +9 more,7 years old,201-500 Employees
5981,Destek Infosolutions,3.9,121,8 years old,,Pune +2 more,51-200 Employees
5982,Welspun Transformation Services Limited,4.2,121,Vapi +6 more,,,5k-10k Employees
5983,Karuna Management Services,3.8,120,29 years old,,Kolkata +11 more,51-200 Employees
5984,Sahyadri Industries,3.8,120,Public,Pune +19 more,77 years old,501-1k Employees
5985,WWICS Group,3.7,120,31 years old,,Mohali +18 more,1k-5k Employees
5986,Naga,3.7,120,Public,Dindigul +12 more,62 years old,1k-5k Employees
5987,Bentley Systems,4.3,120,40 years old,,Exton +6 more,501-1k Employees
5988,Getix Health,3.6,120,12 years old,,Sugar Land +3 more,10k-50k Employees
5989,Sresta Natural Bioproducts,3.5,120,20 years old,,Hyderabad +28 more,201-500 Employees
5990,iB Hubs,4.2,120,8 years old,,Gurgaon +7 more,501-1k Employees
5991,J Pan Tubular Components,4.1,120,17 years old,,Greater Noida +9 more,51-200 Employees
5992,AGIO Pharmaceuticals,2.3,120,Public,Massachusetts +7 more,33 years old,201-500 Employees
5993,Sumeru Software Solutions,3.2,120,23 years old,,Bangalore/Bengaluru +10 more,201-500 Employees
5994,Banaras Hindu University,4.5,120,108 years old,,Varanasi/Benaras +15 more,501-1k Employees
5995,Forbes Technosys,3.7,120,31 years old,,Thane +28 more,201-500 Employees
5996,ChicMic,4.6,120,12 years old,,Mohali +2 more,51-200 Employees
5997,Global Cloud Xchange,3.4,120,36 years old,,Hamilton +6 more,501-1k Employees
5998,Focus Softnet,3.4,120,32 years old,,Hyderabad/Secunderabad +10 more,501-1k Employees
5999,Frost & Sullivan,3.6,120,63 years old,,San Antonio +8 more,501-1k Employees
6000,Nutanix,3.9,120,15 years old,,San Jose +5 more,1k-5k Employees
6001,Inductotherm,4.1,120,71 years old,,New Jersey +10 more,51-200 Employees
6002,Covestro,4.5,120,9 years old,,Leverkusen +11 more,Forbes Global 2000
6003,MyGlamm,3.5,120,Indian Unicorn,Mumbai +26 more,9 years old,501-1k Employees
6004,Amnet Systems,4.0,120,24 years old,,Chennai +4 more,501-1k Employees
6005,Lauren Information Technologies,3.9,120,32 years old,,Mumbai +13 more,201-500 Employees
6006,ZestMoney,3.9,120,Startup,Bangalore +16 more,9 years old,201-500 Employees
6007,Municipal Corporation of Greater Mumbai,3.9,120,Public,Mumbai +3 more,136 years old,501-1k Employees
6008,Presidium School,4.1,120,19 years old,,New Delhi +7 more,501-1k Employees
6009,Mehta Cad Cam Systems,3.8,120,35 years old,,Ahmedabad +16 more,51-200 Employees
6010,Aditi Consulting,3.7,120,MNC,Bellevue +4 more,13 years old,501-1k Employees
6011,Sarda Energy & Minerals,4.3,120,Public,Raipur +4 more,51 years old,1k-5k Employees
6012,Paranjape Schemes Construction,3.9,120,94 years old,,Pune +7 more,201-500 Employees
6013,Coherent Market Insights,4.2,120,8 years old,,Burlingame,201-500 Employees
6014,Krishna Group,4.3,120,,,,Gurgaon +16 more
6015,DesignCafe,3.4,120,Startup,Bangalore +7 more,8 years old,501-1k Employees
6016,S&IB Services,4.0,120,36 years old,,Kolkata +17 more,201-500 Employees
6017,Savita Oil Technologies,4.3,120,Public,Mumbai +18 more,63 years old,1k-5k Employees
6018,Ind Innovations,3.6,120,10 years old,,Delhi/NCR +27 more,11-50 Employees
6019,Ivangel Sales & Services,3.5,120,Kolkata +28 more,,,25 years old
6020,Jehangir Hospital,4.0,120,78 years old,,Pune +3 more,1k-5k Employees
6021,SGB,4.0,120,San Diego +20 more,,,51-200 Employees
6022,Gunnebo,3.7,120,92 years old,,Gothenburg +13 more,1k-5k Employees
6023,NSL Sugars,4.3,120,25 years old,,Hyderabad +14 more,201-500 Employees
6024,Agiliad Technologies,4.0,120,13 years old,,Pune +4 more,201-500 Employees
6025,Cyntexa,4.3,120,6 years old,,San Francisco +1 more,201-500 Employees
6026,Taggd,4.0,120,19 years old,,Gurgaon +6 more,501-1k Employees
6027,SEG Automotive,3.6,120,6 years old,,Stuttgart +7 more,201-500 Employees
6028,Egniol Services,4.0,120,,,,Ahmedabad +4 more
6029,QR Crypher,4.3,120,5 years old,,Tiruchirappalli +4 more,11-50 Employees
6030,Risebird Talent Solutions,4.5,120,Noida +6 more,,,51-200 Employees
6031,Greenway Health,3.1,120,Tampa +3 more,,,201-500 Employees
6032,CivilMantra Infracon Private Limited,4.9,120,Startup,Gurgaon/Gurugram +1 more,10 years old,201-500 Employees
6033,Sri Ramachandra Institute of Higher Education and Research,4.1,120,34 years old,,Chennai +7 more,201-500 Employees
6034,Ebullient Securities,3.6,120,Gurgaon/Gurugram +1 more,,,51-200 Employees
6035,Rubamin,3.9,119,39 years old,,Vadodara/Baroda +3 more,501-1k Employees
6036,Medikabazaar,3.6,119,Startup,Mumbai +21 more,10 years old,501-1k Employees
6037,West Bengal State Electricity Distribution Company,3.3,119,State,Kolkata +21 more,17 years old,5k-10k Employees
6038,Creative Garments,3.8,119,50 years old,,Mumbai +13 more,501-1k Employees
6039,Colruyt Group,4.2,119,Forbes Global 2000,Hale,17 years old,501-1k Employees
6040,Strategic Learning Solutions,4.2,119,28 years old,,Gurgaon/Gurugram +24 more,201-500 Employees
6041,G7 CR Technologies,3.3,119,12 years old,,Bangalore  +1 more,51-200 Employees
6042,Leena Powertech Engineers,3.1,119,29 years old,,Mumbai +9 more,51-200 Employees
6043,Replicon,3.7,119,28 years old,,Calgary +3 more,501-1k Employees
6044,Msc Cruises,4.3,119,36 years old,,Geneva +7 more,501-1k Employees
6045,Aapna Infotech,4.6,119,17 years old,,Delhi/NCR +3 more,51-200 Employees
6046,Auto Ignition,3.7,119,53 years old,,Palwal +4 more,501-1k Employees
6047,Adani Transmission,3.9,119,Public,Ahmedabad +34 more,11 years old,501-1k Employees
6048,Takata,4.3,119,63 years old,,Delhi/NCR +10 more,1k-5k Employees
6049,CBSE,4.3,119,Delhi +62 more,,,5k-10k Employees (Global)
6050,Natural Remedies,3.4,119,73 years old,,Bangalore/Bengaluru +10 more,501-1k Employees
6051,Pin Click,2.6,119,Startup,Bangalore +6 more,10 years old,51-200 Employees
6052,TransPerfect,3.9,119,32 years old,,New York +4 more,501-1k Employees
6053,STPL,4.4,119,20 years old,,San Mateo +21 more,51-200 Employees
6054,Raheja Developers,2.9,119,Public,Gurgaon/Gurugram +2 more,35 years old,201-500 Employees
6055,Automotive Stampings and Assemblies,3.7,119,Public,Pune +6 more,34 years old,501-1k Employees
6056,NDTV,3.8,119,35 years old,,New Delhi +6 more,1k-5k Employees
6057,Weir Minerals,4.0,119,153 years old,,Fort Worth +10 more,501-1k Employees
6058,Aspiring Minds,3.9,119,16 years old,,San Jose +9 more,201-500 Employees
6059,i-Source Infosystems,3.8,119,21 years old,,Pune +15 more,201-500 Employees
6060,K R Mangalam University,4.2,119,11 years old,,Gurgaon +4 more,51-200 Employees
6061,Ntf,3.8,119,40 years old,,Gurgaon +12 more,201-500 Employees
6062,Three D Integrated Solutions Ltd,3.1,119,17 years old,,Gurugram +19 more,51-200 Employees
6063,RC Plasto Tanks And Pipes,3.6,119,14 years old,,Nagpur +15 more,51-200 Employees
6064,Network Intelligence India,3.7,119,23 years old,,New York +9 more,201-500 Employees
6065,ANANDA GROUP,3.9,119,Bhimavaram +29 more,,,94 years old
6066,Enova Facilities Management LLC,3.7,119,22 years old,,Chicago +10 more,1k-5k Employees (Global)
6067,Indwell,3.8,119,47 years old,,Vijayawada +18 more,51-200 Employees (Global)
6068,Kriya It,3.4,119,14 years old,,Chennai +6 more,1k-5k Employees
6069,RAMADA PLAZA,4.0,119,Public,New Jersey +19 more,71 years old,201-500 Employees (Global)
6070,Futures Group,4.3,119,16 years old,,New York +44 more,11-50 Employees
6071,GKB Opticals,4.2,119,56 years old,,Kolkata +22 more,51-200 Employees
6072,Pasco Automobiles,4.4,119,39 years old,,Gurgaon/Gurugram +5 more,11-50 Employees (Global)
6073,Datamatics Financial Services,3.2,119,49 years old,,Mumbai +2 more,1k-5k Employees
6074,Shyam Steel Manufacturing,3.5,119,,,,Kolkata +26 more
6075,Makino Auto Industries,4.1,119,34 years old,,Noida +8 more,501-1k Employees
6076,Toll Group,4.4,119,27 years old,,Chennai +17 more,1k-5k Employees
6077,Chemtrols Industries,4.0,119,49 years old,,Mumbai +20 more,201-500 Employees
6078,e-Solutions,3.4,119,21 years old,,San Jose +14 more,11-50 Employees
6079,Mit World Peace University,3.7,119,Pune +3 more,,,1k-5k Employees
6080,KhataBook,3.7,119,Startup,Bengaluru/Bangalore +14 more,6 years old,501-1k Employees
6081,A&A Business Consulting,4.2,119,15 years old,,Thane +9 more,201-500 Employees
6082,DLT Lab Technologies,2.8,119,7 years old,,Noida +3 more,201-500 Employees
6083,ETV Bharat,3.9,119,Hyderabad/Secunderabad +3 more,,,1k-5k Employees
6084,AML RightSource,3.0,119,,,,
6085,AI Variant,4.2,119,,,,Bengaluru/Bangalore +8 more
6086,Mentorsity,4.5,119,4 years old,,New Delhi +9 more,11-50 Employees
6087,Netoyed,4.0,119,,,,Noida +1 more
6088,L&T Smart World & Communication,4.4,119,Chennai +24 more,,,201-500 Employees
6089,Cape East,3.7,118,131 years old,,Doha +9 more,10k-50k Employees (Global)
6090,ARB Bearings,3.6,118,Public,Sonipat +7 more,34 years old,201-500 Employees
6091,Chrysalis High,3.6,118,14 years old,,Bengaluru/Bangalore +1 more,201-500 Employees
6092,3F Industries,3.7,118,Public,Nellore +16 more,64 years old,1k-5k Employees
6093,Avantha Technologies,3.4,118,Public,Gurgaon/Gurugram +7 more,20 years old,201-500 Employees
6094,Enzene Biosciences,3.9,118,18 years old,,Pune +3 more,201-500 Employees
6095,Sakal Media Group,3.5,118,92 years old,,Pune +18 more,1k-5k Employees
6096,Apothecon Pharmaceuticals,4.5,118,17 years old,,Vadodara +1 more,51-200 Employees
6097,Expeditors International,4.0,118,Forbes Global 2000,Chennai +18 more,45 years old,1k-5k Employees
6098,Damodar Valley Corporation,3.7,118,76 years old,,Kolkata +14 more,5k-10k Employees
6099,Colorbar Cosmetics,4.4,118,20 years old,,New Delhi +26 more,51-200 Employees
6100,Expeditors International,4.0,118,Forbes Global 2000,Seattle +18 more,45 years old,1k-5k Employees
6101,Anmol Biscuits,3.9,118,Public,Kolkata +30 more,30 years old,501-1k Employees
6102,Ascendum Solutions,3.6,118,15 years old,,Blue Ash +5 more,51-200 Employees
6103,Cadmaxx Solutions,3.4,118,20 years old,,Bangalore/Bengaluru +14 more,501-1k Employees
6104,TetraSoft,3.6,118,27 years old,,Chesterfield +4 more,1k-5k Employees
6105,Apothecon Pharmaceuticals,4.5,118,17 years old,,Vadodara/Baroda +1 more,51-200 Employees
6106,Furnace Fabrica India,3.4,118,51 years old,,Navi Mumbai +11 more,201-500 Employees
6107,Ishan Technologies,3.8,118,24 years old,,Ahmedabad +27 more,1k-5k Employees
6108,Shemaroo Entertainment,3.4,118,Public,Mumbai +6 more,62 years old,501-1k Employees
6109,Peerless Hospital,3.9,118,92 years old,,Kolkata +5 more,201-500 Employees
6110,Avantha Technologies,3.4,118,Public,Gurgaon +7 more,20 years old,201-500 Employees
6111,Enzene Biosciences,3.9,118,18 years old,,Pune +3 more,201-500 Employees
6112,Jamia Hamdard University,3.9,118,Public,New Delhi +1 more,35 years old,501-1k Employees
6113,Windsor Machines,3.8,118,Public,Ahmedabad +15 more,61 years old,501-1k Employees
6114,SEW Eurodrive india,4.1,118,27 years old,,Vadodara/Baroda +18 more,201-500 Employees
6115,Securitrans India,4.1,118,38 years old,,Delhi/NCR +40 more,1k-5k Employees
6116,Lakshmi Life Sciences,3.3,118,Public,Coimbatore +4 more,20 years old,201-500 Employees
6117,Kaff Appliances (india),3.0,118,17 years old,,Gurgaon +26 more,51-200 Employees
6118,Pran Beverages India,3.8,118,43 years old,,Dhaka +35 more,1k-5k Employees
6119,Sahara India Financial Corporation,3.4,118,37 years old,,Lucknow +52 more,10k-50k Employees (Global)
6120,Lakshmi Life Sciences,3.3,118,Public,Coimbatore +4 more,20 years old,201-500 Employees
6121,Pran Beverages India,3.8,118,43 years old,,Dhaka +35 more,1k-5k Employees
6122,Sahara India Financial Corporation,3.4,118,37 years old,,Lucknow +52 more,10k-50k Employees (Global)
6123,Techahead Software,3.8,118,15 years old,,Agoura Hills +3 more,201-500 Employees
6124,Hubergroup,4.2,118,Fortune India 500,Vapi +10 more,38 years old,1k-5k Employees
6125,ATC Tires,3.6,118,17 years old,,Mumbai +14 more,1k-5k Employees
6126,Pickrr,3.9,118,Startup,Faridabad +4 more,9 years old,201-500 Employees
6127,Illusion Dental Laboratory,3.7,118,20 years old,,Mumbai +21 more,11-50 Employees
6128,Avvashya Cci Logistics,4.0,118,9 years old,,Mumbai +20 more,1k-5k Employees
6129,Ewac Alloys,4.2,118,62 years old,,Mumbai +32 more,51-200 Employees
6130,Maccaferri,3.8,118,145 years old,,Bologna +15 more,201-500 Employees
6131,Ishan Technologies,3.8,118,24 years old,,Ahmedabad +27 more,1k-5k Employees
6132,Shemaroo Entertainment,3.4,118,Public,Mumbai +6 more,62 years old,501-1k Employees
